1,["https:\/\/www.cstj.qc.ca","https:\/\/ccmt.cstj.qc.ca","https:\/\/ccml.cstj.qc.ca"], Canada, ["cstj.qc.ca"], Cégep de Saint-Jérôme, 
2,["https:\/\/www.lambtoncollege.ca"], Canada, ["lambtoncollege.ca","mylambton.ca"], Lambton College, 
3,["http:\/\/www.acadiau.ca\/"], Canada, ["acadiau.ca"], Acadia University, 
4,["http:\/\/www.algonquincollege.com\/"], Canada, ["algonquincollege.com"], Algonquin College, 
5,["http:\/\/www.ashtoncollege.com\/"], Canada, ["ashtoncollege.com"], Ashton College, 
6,["http:\/\/www.assumptionu.ca\/"], Canada, ["assumptionu.ca"], Assumption University, 
7,["http:\/\/www.athabascau.ca\/"], Canada, ["athabascau.ca"], Athabasca University, 
8,["http:\/\/www.augustana.ab.ca\/"], Canada, ["augustana.ab.ca"], Augustana University College, 
9,["http:\/\/www.bcit.ca\/"], Canada, ["bcit.ca"], British Columbia Institute of Technology, 
10,["http:\/\/www.bcou.ca\/"], Canada, ["bcou.ca"], British Columbia Open University, 
11,["http:\/\/www.boothcollege.ca\/"], Canada, ["boothcollege.ca"], William and Catherine Booth College, 
12,["http:\/\/www.borealc.on.ca\/"], Canada, ["borealc.on.ca"], Collège Boréal, 
13,["http:\/\/www.bowvalleycollege.ca\/"], Canada, ["bowvalleycollege.ca"], Bow Valley College, 
14,["http:\/\/www.brandonu.ca\/"], Canada, ["brandonu.ca"], Brandon University, 
15,["http:\/\/www.brocku.ca\/"], Canada, ["brocku.ca"], Brock University, 
16,["http:\/\/www.cal.devry.ca\/"], Canada, ["cal.devry.ca"], DeVry Institute of Technology, 
17,["http:\/\/www.camosun.bc.ca\/"], Canada, ["camosun.bc.ca"], Camosun College, 
18,["http:\/\/www.capcollege.bc.ca\/"], Canada, ["capcollege.bc.ca"], Capilano College, 
19,["http:\/\/www.cariboo.bc.ca\/"], Canada, ["cariboo.bc.ca"], University College of the Cariboo, 
20,["http:\/\/www.carleton.ca\/"], Canada, ["carleton.ca"], Carleton University, 
21,["http:\/\/www.ccbc.ca\/"], Canada, ["ccbc.ca"], Canadian College of Business & Computers, 
22,["http:\/\/www.centennialcollege.ca\/"], Canada, ["centennialcollege.ca"], Centennial College, 
23,["http:\/\/www.cmu.ca\/"], Canada, ["cmu.ca"], Canadian Mennonite University, 
24,["http:\/\/www.cnc.bc.ca\/"], Canada, ["cnc.bc.ca"], College of New Caledonia, 
25,["http:\/\/www.columbiacollege.ca\/"], Canada, ["columbiacollege.ca"], Columbia College, 
26,["http:\/\/www.concordia.ab.ca\/"], Canada, ["concordia.ab.ca"], Concordia University College of Alberta, 
27,["http:\/\/www.concordia.ca\/"], Canada, ["concordia.ca"], Concordia University, 
28,["http:\/\/www.conestogac.on.ca\/"], Canada, ["conestogac.on.ca"], Conestoga College, 
29,["http:\/\/www.cotr.bc.ca\/"], Canada, ["cotr.bc.ca"], College of the Rockies, 
30,["http:\/\/www.cus.ca\/"], Canada, ["cus.ca"], University of Moncton, Shippagan, 
31,["http:\/\/www.cuslm.ca\/"], Canada, ["cuslm.ca"], University of Moncton, Edmundston, 
32,["http:\/\/www.dal.ca\/"], Canada, ["dal.ca"], Dalhousie University, 
33,["http:\/\/www.douglas.bc.ca\/"], Canada, ["douglas.bc.ca"], Douglas College, 
34,["https:\/\/durhamcollege.ca\/"], Canada, ["dcmail.ca"], Durham College, 
35,["http:\/\/www.eciad.bc.ca\/"], Canada, ["eciad.bc.ca"], Emily Carr Institute of Art + Design, 
36,["http:\/\/www.enap.uquebec.ca\/"], Canada, ["enap.uquebec.ca"], École nationale d'administration publique, Université du Québec, 
37,["http:\/\/www.etsmtl.ca\/"], Canada, ["etsmtl.ca"], École de technologie supérieure, Université du Québec, 
38,["http:\/\/www.firstnationsuniversity.ca\/"], Canada, ["firstnationsuniversity.ca"], First Nations University of Canada, 
39,["http:\/\/www.gbrownc.on.ca\/"], Canada, ["gbrownc.on.ca"], George Brown College, 
40,["http:\/\/www.hec.ca\/"], Canada, ["hec.ca"], École des Hautes Études Commerciales, 
41,["http:\/\/www.humber.ca\/"], Canada, ["humber.ca","humbermail.ca"], Humber College, 
42,["http:\/\/www.huronuc.on.ca\/"], Canada, ["huronuc.on.ca"], Huron University College, 
43,["http:\/\/www.iaf.inrs.ca\/"], Canada, ["iaf.inrs.ca"], Institut Armand-Frappier, Université du Québec, 
44,["http:\/\/www.inrs.uquebec.ca\/"], Canada, ["inrs.uquebec.ca"], Institut National de la Recherche Scientifique, Université du Québec, 
45,["http:\/\/www.kingston.edu\/"], Canada, ["kingston.edu"], Kingston College, 
46,["http:\/\/www.kingsu.ab.ca\/"], Canada, ["kingsu.ab.ca"], King's University College, 
47,["http:\/\/www.kwantlen.bc.ca\/"], Canada, ["kwantlen.bc.ca"], Kwantleen University College, 
48,["http:\/\/www.lakeheadu.ca\/"], Canada, ["lakeheadu.ca"], Lakehead University, 
49,["http:\/\/www.langara.bc.ca\/"], Canada, ["langara.bc.ca"], Langara College, 
50,["http:\/\/www.lansbridge.com\/"], Canada, ["lansbridge.com"], Lansbridge University, 
51,["http:\/\/www.laurentian.ca\/"], Canada, ["laurentian.ca"], Laurentian University of Sudbury, 
52,["http:\/\/www.macewan.ca\/"], Canada, ["macewan.ca"], MacEwan University, 
53,["http:\/\/www.mala.bc.ca\/"], Canada, ["mala.bc.ca"], Malaspina University College, 
54,["http:\/\/www.mcgill.ca\/"], Canada, ["mcgill.ca"], McGill University, 
55,["http:\/\/www.mcmaster.ca\/"], Canada, ["mcmaster.ca"], McMaster University, 
56,["http:\/\/www.msvu.ca\/"], Canada, ["msvu.ca"], Mount Saint Vincent University, 
57,["http:\/\/www.mta.ca\/"], Canada, ["mta.ca"], Mount Allison University, 
58,["http:\/\/www.mtroyal.ca\/"], Canada, ["mtroyal.ca"], Mount Royal University, 
59,["http:\/\/www.nait.ca\/"], Canada, ["nait.ca"], Northern Alberta Institute of Technology, 
60,["http:\/\/www.nic.bc.ca\/"], Canada, ["nic.bc.ca"], North Island College, 
61,["http:\/\/www.nipissingu.ca\/"], Canada, ["nipissingu.ca"], Nipissing University, 
62,["http:\/\/www.nlc.bc.ca\/"], Canada, ["nlc.bc.ca"], Northern Lights College, 
